Actual,Predicted
4355,3944.84
2415,2198.21
1,0.99
68,59.03
3536,3677.85
25,23.56
0,0.1
948,1017.76
2037,1667.35
1886,1921.09
4,3.22
3702,3566.3
1080,1344.68
233,280.55
1,1.42
234,193.44
1174,1475.18
2310,2534.66
1836,1294.38
1495,1812.48
0,93.92
2693,2125.84
0,0.04
3857,3888.63
1900,1934.95
2049,2321.81
11,17.34
120,81.96
3901,3748.28
2649,2348.93
2958,3211.09
252,221.26
4835,4607.52
0,0.68
2368,2318.62
1699,1707.81
0,0.03
0,0.0
1159,1039.97
7,10.85
58,51.02
2232,2189.22
3620,3184.5
0,0.09
311,630.93
1908,2170.38
482,548.85
68,62.31
379,240.41
1558,1593.35
1421,1587.88
4481,4239.76
64,126.59
0,0.16
1,0.8
3009,3102.5
0,2.62
3130,2875.41
1,0.93
142,104.63
0,0.05
1867,1750.8
584,830.43
3063,2798.91
1,1.11
2477,2547.49
3835,3760.85
175,180.97
2003,1947.39
0,0.0
3345,3126.64
2936,2756.41
3100,2793.91
0,0.0
0,0.01
33,33.88
1087,669.35
0,0.22
1627,2230.95
2499,2793.69
0,0.2
2181,2474.58
0,0.01
3151,3248.75
1203,1287.67
2580,2366.58
470,571.98
1202,1130.78
25,23.0
2231,2610.34
894,849.01
0,0.22
55,50.05
2546,2421.16
31,31.86
1374,1135.48
2684,2723.04
0,0.24
1,0.76
33,39.31
0,0.47
1,1.3
2392,2092.21
3663,3364.61
6,5.27
253,248.23
1677,1684.83
2984,2869.43
1805,1728.51
34,37.02
211,508.78
2297,2358.06
3863,3722.75
50,42.88
161,193.72
0,0.03
883,657.71
1,0.87
713,831.13
18,17.08
3,24.6
867,872.41
924,949.51
3017,2371.34
3797,3632.32
0,1.27
3480,3345.6
1,1.0
3,2.26
1,0.98
1,49.32
2049,2333.64
3858,2917.08
2634,3148.46
909,1146.94
0,0.58
3297,3238.55
282,263.46
1832,2105.17
0,3.01
2741,2650.34
0,0.0
33,34.97
2523,2617.66
585,629.25
80,73.73
2912,2915.44
611,675.94
5,4.88
432,493.04
