timestamp,Date and Hour,Date,StartHour,EndHour,Source,Production,dayOfYear,dayName,monthName,GHI,DNI,Wind_Speed_2m,Wind_Direction_2m,Temp_2m,RH_2m,Pressure,wind_speed_50m,wind_direction_50m,temp_50m,density_VT,pressure_VT,ri_number,rh_50m,rmol_VT
10/16/2020 15:00,2020-10-16 15:00:00+02:00,10/16/2020,15:00:00,16:00:00,Solar,1655,290,Friday,October,78,0,4.5,354,12.8,64.37,980,15.7,13,8.6,1.16,935.9,-0.07,82.3,-0.0009
7/29/2020 15:00,2020-07-29 15:00:00+02:00,7/29/2020,15:00:00,16:00:00,Wind,225,211,Wednesday,July,713,826,2.1,23,31.8,32.39,982,7.4,27,24.7,1.1,940.7,-0.77,61.4,-0.0087
7/12/2020 23:00,2020-07-12 23:00:00+02:00,7/12/2020,23:00:00,24:00:00,Solar,0,194,Sunday,July,0,0,1.1,181,17.3,67.84,985,8.5,11,20.3,1.12,942,0.43,46,0.0054
6/23/2020 22:00,2020-06-23 22:00:00+02:00,6/23/2020,22:00:00,23:00:00,Solar,1,175,Tuesday,June,0,0,0.5,128,21.8,67.96,983,2.2,44,16.2,1.03,858.3,2.42,79.5,0.2013
10/16/2020 16:00,2020-10-16 16:00:00+02:00,10/16/2020,16:00:00,17:00:00,Solar,1215,290,Friday,October,6,0,3.7,349,11.8,69.73,980,15.8,9,8.4,1.16,936.1,-0.04,82.8,-0.0003
7/29/2020 16:00,2020-07-29 16:00:00+02:00,7/29/2020,16:00:00,17:00:00,Wind,258,211,Wednesday,July,563,766,2.1,34,31.5,32.28,981,7.4,25,24.9,1.1,940.5,-0.57,61.5,-0.0074
6/24/2020 6:00,2020-06-24 06:00:00+02:00,6/24/2020,6:00:00,7:00:00,Solar,45,176,Wednesday,June,182,453,1.4,186,21.3,73.67,983,6.4,172,15.5,1.04,857.8,0.37,58.9,0.0066
10/16/2020 18:00,2020-10-16 18:00:00+02:00,10/16/2020,18:00:00,19:00:00,Solar,171,290,Friday,October,0,0,3.4,340,9.7,82.97,981,14.6,1,7.6,1.16,936.6,0.05,85.7,0.001
7/29/2020 21:00,2020-07-29 21:00:00+02:00,7/29/2020,21:00:00,22:00:00,Wind,893,211,Wednesday,July,0,0,0.9,45,23.1,51.54,983,7.4,2,24.5,1.1,940.2,0.72,50.2,0.0048
7/13/2020 6:00,2020-07-13 06:00:00+02:00,7/13/2020,6:00:00,7:00:00,Solar,22,195,Monday,July,164,493,1.9,308,17.4,69.73,985,8.6,359,18.4,1.13,942.2,0.56,52.7,0.005
6/24/2020 18:00,2020-06-24 18:00:00+02:00,6/24/2020,18:00:00,19:00:00,Solar,1837,176,Wednesday,June,264,602,1.3,184,28.3,50.58,981,6.4,196,17.2,1.03,857.8,-0.76,79.4,-0.0086
7/29/2020 22:00,2020-07-29 22:00:00+02:00,7/29/2020,22:00:00,23:00:00,Wind,1488,211,Wednesday,July,0,0,0.8,31,22.6,51.54,983,7,0,24.7,1.1,940.2,0.86,48,0.0061
7/13/2020 12:00,2020-07-13 12:00:00+02:00,7/13/2020,12:00:00,13:00:00,Solar,3717,195,Monday,July,948,916,2.5,354,27.9,32.74,984,4,31,20.9,1.12,942.3,-2.81,63.4,-0.029
6/24/2020 20:00,2020-06-24 20:00:00+02:00,6/24/2020,20:00:00,21:00:00,Solar,312,176,Wednesday,June,0,0,1.2,198,23.1,69.36,981,3.3,143,15.8,1.04,858,1.4,77.2,0.0998
6/24/2020 20:00,2020-06-24 20:00:00+02:00,6/24/2020,20:00:00,21:00:00,Solar,312,176,Wednesday,June,0,0,1.2,198,23.1,69.36,981,6.5,207,16.3,1.03,857.5,0.39,68.5,0.0004
10/17/2020 4:00,2020-10-17 04:00:00+02:00,10/17/2020,4:00:00,5:00:00,Solar,0,291,Saturday,October,0,0,2.4,339,6.7,92.92,981,15.1,359,5.8,1.17,936.6,0.16,91.5,0.0012
7/29/2020 23:00,2020-07-29 23:00:00+02:00,7/29/2020,23:00:00,24:00:00,Wind,1872,211,Wednesday,July,0,0,0.8,16,22,52.52,983,6.9,2,24.8,1.1,940.2,0.87,47,0.0068
7/13/2020 19:00,2020-07-13 19:00:00+02:00,7/13/2020,19:00:00,20:00:00,Solar,1006,195,Monday,July,97,391,1.6,7,22,48.42,982,6,17,21.5,1.11,940.5,0.2,53.6,0.0001
6/24/2020 21:00,2020-06-24 21:00:00+02:00,6/24/2020,21:00:00,22:00:00,Solar,43,176,Wednesday,June,0,0,1.5,204,21.7,71.91,982,6.9,208,16.5,1.03,857.5,0.44,56.4,0.0016
10/17/2020 9:00,2020-10-17 09:00:00+02:00,10/17/2020,9:00:00,10:00:00,Solar,835,291,Saturday,October,14,0,2.7,354,9,79.04,982,13.7,1,6.2,1.17,936.9,0.13,83.6,0.0004
6/25/2020 5:00,2020-06-25 05:00:00+02:00,6/25/2020,5:00:00,6:00:00,Solar,0,177,Thursday,June,46,221,1.7,195,18.3,77.31,981,7.7,200,14.8,1.04,856.5,0.99,69.1,0.0029
